hebrew,english
כפר קאסם,Kafr Qasim
כפר קיש,Kfar Qish
כפר קרע,Kafr Qara
כפר רופין,Kfar Ruppin
כפר רות,Kfar Ruth
כפר שמאי,Kfar Shamai
כפר שמואל,Kfar Shmuel
כפר שמריהו,Kfar Shmaryahu
כפר תבור,Kfar Tavor
כפר תפוח,Kfar Tapuah
כפר תקווה,Kfar Tikva
כרכום,Karkum
כרכור,Karkur
כרם ביבנה,Kerem Beyavne
כרם בן זמרה,Kerem Ben Zimra
כרם מהר''ל,Kerem Maharal
כרם רעים,Kerem Re'im
כרם שלום,Kerem Shalom
כרמי גת,Karmi Gat
כרמי יוסף,Karmi Yosef
כרמי צור,Karmi Tzur
כרמי קטיף,Karmi Katif
כרמי קטיף ואמציה,Karmi Katif and Amazya
כרמיאל,Karmiel
כרמיה,Karmiyya
כרמים,Keramim
כרמית,Karmit
כרמל,Carmel
לב החולה,Lev HaHula
לבון,Lavon
לביא,Lavie
לבנון,Lavnon
לבנים,Livnim
להב,Lahav
להבות הבשן,Lehav'ot HaBashan
להבות חביבה,Lehav'ot Haviva
להבים,Lehavim
לוד,Lod
לוזית,Luzit
לוחמי הגטאות,Lohamei HaGeta'ot
לוטם וחמדון,Lotem and Hamdon
לוטן,Lotan
לטרון,Latrun
לימן,Liman
לכיש,Lakhish
לפיד,Lapid
לפידות,Lapidot
לקיה,Laqiyya
לקיה והפזורה,Laqiyya and Dispersion
מאור,Ma'or
מאיר שפיה,Meir Shfeya
מבוא ביתר,Mevo Beitar
מבוא דותן,Mevo Dotan
מבוא חורון,Mevo Horon
מבוא חמה,Mevo Hama
מבוא מודיעים,Mevo Modi'im
מבואות יריחו,Mevo'ot Yeriho
מבועים,Mevo'im
מבטחים,Mivtahim
מבטחים עמיעוז ישע,Mivtahim Ami'oz Yesha
מבקיעים,Mavki'im
מבשרת ציון,Mevaseret Zion
מג'דל כרום,Majd al-Krum
מג'דל שמס,Majdal Shams
מגדים,Megadim
מגדל,Migdal
מגדל העמק,Migdal HaEmek
מגדל עוז,Migdal Oz
מגדל תפן,Migdal Tefen
מגדלים,Migdalim
מגל,Megil
מגן,Magen
מגן שאול,Magen Sha'ul
מגרון,Magron
מגשימים,Magshimim
מדרך עוז,Medrakh Oz
מדרשת בן גוריון,Ben Gurion University Campus
מודיעין,Modi'in
מודיעין - ישפרו סנטר,Modi'in - Yishpro Center
מודיעין - ליגד סנטר,Modi'in - Ligad Center
מודיעין מכבים רעות,Modi'in-Maccabim-Re'ut
מודיעין עילית,Modi'in Illit
מולדה,Molada
מולדת,Moledet
מועאוויה,Mu'awiya
מועצה אזורית דרום השרון,Drom HaSharon Regional Council
מוצא עילית,Motza Illit
מוקיבלה,Muqeibla
מורן,Moran
מורשת,Moreshet
מזור,Mazor
מזכרת בתיה,Mazkeret Batya
מזרע,Mezra'a
מזרעה,Mazra'a
מחולה,Mehola
מחניים,Mahanayim
מחסיה,Mahseya
מטווח ניר עם,Nir Am Firing Range
מטולה,Metulla
מטע,Meta'
מי עמי,Mei Ami
מייסר,Meisar
מיני ישראל - נחשון,Mini Israel - Nahshon
מיצד,Metzad
מיצר,Mitzar
מירב,Mirav
מירון,Meron
מישר,Mishar
מיתר,Meitar
מכון וינגייט,Wingate Institute
מכורה,Makhora
מכינת אלישע,Elisha Preparatory School
מכללת ספיר,Sapir College
מכמורת,Mikhmoret
מכמנים,Mikmenim
מכמנים - כמאנה מערבית,Mikmenim - Kama'ana West
מלאכי השלום,Malakhi HaShalom
מלון אחוזת ירדן,Ahuzat Yarden Hotel
מלון סיקס סנסס שחרות,Six Senses Shaharot Hotel
מלון פרא,Para Hotel
מלונות ים המלח מרכז,Dead Sea Central Hotels
מלילות,Mlilot
מלכיה,Malkiya
ממשית,Mamshit
מנוחה,Menuha
מנוף,Manof
מנות,Manot
מנחמיה,Menaḥmiya
מנחת מחניים,Mahanayim Landing
מנרה,Manara
מנשית זבדה,Manshiyyet Zabda
מסד,Masad
מסדה,Masada
מסוף אורנית,Ornit Terminal
מסילות,Mesilot
מסילת ציון,Mesillat Zion
מסלול,Maslul
מסעדה,Mas'ada
מע'אר,Mughar
מעברות,Ma'abarot
מעגלים,Ma'agalim
מעגלים גבעולים מלילות,Ma'agalim Giv'olim Mlilot
מעגן,Ma'agan
מעגן מיכאל,Ma'agan Mikha'el
מעוז חיים,Ma'oz Hayim
מעון,Ma'on
מעון צופיה,Ma'on Tzofiya
מעונה,Ma'ona
מעיין ברוך,Ma'yan Barukh
מעיין צבי,Ma'yan Tzvi
מעיליא,Mi'ilya
מעלה אדומים,Ma'ale Adumim
מעלה אפרים,Ma'ale Efrayim
מעלה גלבוע,Ma'ale Gilboa
מעלה גמלא,Ma'ale Gamla
מעלה החמישה,Ma'ale HaHamisha
מעלה חבר,Ma'ale Hever
מעלה לבונה,Ma'ale Levona
מעלה מכמש,Ma'ale Mikhmas
מעלה עירון,Ma'ale Iron
מעלה עמוס,Ma'ale Amos
מעלה צביה,Ma'ale Tzviya
מעלה רחבעם,Ma'ale Rehavam
מעלה שומרון,Ma'ale Shomron
מעלות תרשיחא,Ma'alot-Tarshiha
מענית,Ma'anit
מעש,Ma'ash
מפלסים,Mafalasim
מפעל אגריגדה,Agrigeda Factory
מצדה,Matzada
מצובה,Matzuva
מצוק עורבים,Metzuq Orvim
מצוקי דרגות,Metzuqei Dragot
מצליח,Matzliach
מצפה,Mitzpe
מצפה אבי''ב,Mitzpe Aviv
מצפה אילן,Mitzpe Ilan
מצפה דני,Mitzpe Danny
"מצפה זי""ו","Mitzpe Ziv"
מצפה חגית,Mitzpe Hagit
מצפה יאיר,Mitzpe Ya'ir
מצפה יריחו,Mitzpe Yeriho
מצפה מדרג,Mitzpe Madrag
מצפה נטופה,Mitzpe Netofah
מצפה רמון,Mitzpe Ramon
מצפה שלם,Mitzpe Shalem
מצפור פצאל,Mitzpor Patzael
מצר,Mitzar
מקווה ישראל,Mikveh Israel
מרגליות,Margaliot
מרום גולן,Merom Golan
מרחב עם,Merhav Am
מרחביה מושב,Merhavya Moshav
מרחביה קיבוץ,Merhavya Kibbutz
מרחצאות עין גדי,Ein Gedi Spa
מרינה,Marina
מרכז אזורי דרום השרון,Drom HaSharon Regional Center
מרכז אזורי מבואות חרמון,Mevo'ot Hermon Regional Center
מרכז אזורי מגילות,Megillot Regional Center
מרכז אזורי מרום גליל,Merom HaGalil Regional Center
מרכז אזורי משגב,Misgav Regional Center
מרכז אזורי רמת כורזים,Ramat Korazim Regional Center
מרכז חבר,Merkaz Hever
מרכז ימי קיסריה,Caesarea Maritime Center
מרכז מיר''ב,Merkaz Mirav
מרכז שפירא,Merkaz Shapira
מרעית,Mar'it
משאבי שדה,Mash'abbei Sade
משגב דב,Misgav Dov
משגב עם,Misgav Am
משהד,Mashhad
משואה,Mash'uah
משואות יצחק,Mash'uot Yitzhak
משכיות,Mishkiot
משמר איילון,Mishmar Ayalon
משמר דוד,Mishmar David
משמר הירדן,Mishmar HaYarden
משמר הנגב,Mishmar HaNegev
משמר העמק,Mishmar HaEmek
משמר השבעה,Mishmar HaShiv'a
משמר השרון,Mishmar HaSharon
משמרות,Mishmarot
משמרת,Mishemeret
משען,Mash'en
"מתחם ""חנה וסע"" שפיים","Hana VeSa' Complex, Shefayim"
מתחם בני דרום,Bnei Darom Complex
מתחם גלילות,Glilot Complex
מתחם סקי גלבוע,Gilboa Ski Complex
מתחם פי גלילות,Pi Glilot Complex
מתחם צומת שוקת,Shokhet Junction Complex
מתחם שביל התפוזים,Orange Path Complex
מתן,Matan
מתת,Metat
מתתיהו,Mattityahu
נאות גולן,Na'ot Golan
נאות הכיכר,Na'ot HaKikar
נאות מרדכי,Na'ot Mordekhai
נאות סמדר,Na'ot Smadar
נאות קדומים,Na'ot Kedumim
נאעורה,Na'ura
נבטים,Nevatim
נבי סמואל,Nabi Samuel
נבי שועייב,Nabi Shu'ayb
נגבה,Negba
נגוהות,Neguohot
נהורה,Nehora
נהלל,Nahalal
נהריה,Nahariya
נוב,Nov
נוגה,Nogah
נוה איתן,Nve Etan
נווה,Nave
נווה אור,Neve Or
נווה אטי''ב,Neve Ativ
נווה אילן,Neve Ilan
נווה ארז,Neve Erez
נווה דניאל,Neve Daniel
נווה זוהר,Neve Zohar
נווה זיו,Neve Ziv
נווה חריף,Neve Harif
נווה ים,Neve Yam
נווה ימין,Neve Yamin
נווה ירק,Neve Yaraq
נווה מבטח,Neve Mivtach
נווה מיכאל - רוגלית,Neve Mikha'el - Rogalit
נווה צוף,Neve Tzuf
נווה שלום,Neve Shalom
נועם,No'am
נוף איילון,Nof Ayalon
נוף הגליל,Nof HaGalil
נופי נחמיה,Nofi Nehemia
נופי פרת,Nofi Parat
נופים,Nofim
נופית,Nofit
נופך,Nofekh
נוקדים,Nokdim
נורדיה,Nordiya
נורית,Nurit
נחושה,Neḥusha
נחל עוז,Nahal Oz
נחלה,Nahala
נחליאל,Nahliel
נחלים,Nahalim
נחם,Naham
נחף,Nahef
נחשולים,Nahsholim
נחשון,Nahshon
נחשונים,Nahshonim
נטועה,Netu'a
נטור,Natur
נטע,Neta
נטעים,Neta'im
נטף,Nataf
ניל''י,Nili
נילי,Nili
נין,Nin
ניצן,Nitzan
ניצנה,Nitzana
ניצני עוז,Nitzanei Oz
ניצנים,Nitzanim
ניר אליהו,Nir Eliyahu
ניר בנים,Nir Banim
ניר גלים,Nir Galim
ניר דוד,Nir David
ניר ח''ן,Nir Chen
ניר יצחק,Nir Yitzhak
ניר ישראל,Nir Yisrael
ניר משה,Nir Moshe
ניר עוז,Nir Oz
ניר עם,Nir Am
ניר עציון,Nir Etzion
ניר עקיבא,Nir Akiva
ניר צבי,Nir Tzvi
נירים,Nirim
נירית,Nirit
נמל קיסריה,Caesarea Port
נמרוד,Nimrod
נס הרים,Nes Harim
נס עמים,Nes Ammim
נס ציונה,Nes Ziona
נעורה,Na'ura
נעורים,Ne'urim
נעלה,Na'ale
נעמה,Na'ama
נען,Na'an
נערן,Na'aran
נצר חזני,Netzar Hazani
נצר סרני,Netzar Sereni
נצרת,Nazareth
נריה,Nerya
נשר,Nesher
נתיב הגדוד,Netiv HaGdud
נתיב הל''ה,Netiv HaLamed-He
נתיב העשרה,Netiv Ha'Asara
נתיב השיירה,Netiv HaShayara
נתיבות,Netivot
נתניה - מזרח,Netanya - East
נתניה - מערב,Netanya - West
סאג'ור,Sajur
סאסא,Sasa
סביון,Savyon
סגולה,Segula
סואעד חמירה,Sawa'd Hamira
סולם,Sulam
סוסיא,Susya
סוסיא הקדומה,Ancient Susya
סופה,Sufa
סינמה סיטי גלילות,Cinema City Glilot
סכנין,Sakhnin
סלמה,Salama
סלעית,Sal'it
סמר,Samar
סנדלה,Sandala
סנסנה,Sansana
סעד,Sa'ad
סעווה,Se'awa
סעייה-מולדה,Se'ayya-Molada
סער,Sa'ar
ספיר,Sapir
ספסופה - כפר חושן,Sifsufa - Kfar Hoshen
סתריה,Sitriyya
ע'ג'ר,Ghajar
עבדון,Avdon
עבדת,Avdat
עברון,Evron
עגור,Agur
עדי,Adi
עדי עד,Adi Ad
עדנים,Adanim
עוז וגאון,Oz veGaon
עוזה,Uza
עוזייר,Uzier
עולש,Olesh
עומר,Omer
עופר,Ofer
עופרים,Ofrim
עוצם,Otzem
עזוז,Ezuz
עזר,Ezer
עזריאל,Azriel
עזריה,Azarya
עזריקם,Azrikam
עטרת,Ateret
עידן,Idan
עיינות,Ayanot
עילבון,Eilabun
עילוט,Eilut
עין איילה,Ein Ayala
עין אל אסד,Ein al-Asad
עין אל סהלה,Ein al-Sahla
עין אל-סהלה,Ein al-Sahla
עין בוקק,Ein Bokek
עין גב,Ein Gev
עין גדי,Ein Gedi
עין דור,Ein Dor
עין הבשור,Ein HaBesor
עין הוד,Ein Hod
עין החורש,Ein HaHoresh
עין המפרץ,Ein HaMifraz
עין הנצי''ב,Ein HaNetziv
עין העמק,Ein HaEmek
עין השופט,Ein HaShofet
עין השלושה,Ein HaShelosha
עין ורד,Ein Vered
עין זיוון,Ein Ziwan
עין חוד,Ein Hod
עין חצבה,Ein Hatzeva
עין חרוד,Ein Harod
עין יהב,Ein Yahav
עין יעקב,Ein Ya'akov
עין כמונים,Ein Kammonim
עין כרמל,Ein Carmel
עין מאהל,Ein Mahil
עין נקובא,Ein Naquba
עין עירון,Ein Iron
עין צורים,Ein Tzurim
עין קנייא,Ein Qiniyye
עין ראפה,Ein Rafa
עין שמר,Ein Shemer
עין שריד,Ein Sarid
עין תמר,Ein Tamar
עינבר,Einbar
עינות קדם,Einot Kedem
עינת,Einat
עיר אובות,Ir Ovot
עכו,Akko (Acre)
עכו - אזור תעשייה,Akko - Industrial Zone
עכו - רמות ים,Akko - Ramot Yam
עלומים,Alumim
עלי,Eli
עלי זהב,Alei Zahav
עלי זהב - לשם,Alei Zahav - Leshem
עלמה,Alma
עלמון,Almon
עמוקה,Amuqa
עמיחי,Amichai
עמינדב,Aminadav
עמיעד,Ami'ad
עמיעוז,Ami'oz
עמיקם,Amikam
עמיר,Amir
עמנואל,Emmanuel
עמקה,Amka
ענב,Anav
עספיא,Isfiya
עפולה,Afula
עפרה,Ofra
עץ אפרים,Etz Efrayim
עצמון - שגב,Atzmon - Segev
עראבה,Arabba
ערב אל נעים,Arab al-Na'im
ערב אל עראמשה,Arab al-'Aramshe
ערב אל-נעים,Arab al-Na'im
ערד,Arad
ערוגות,Arugot
ערוער - ערערה בנגב,Ar'ara - Ar'ara HaNegev
ערערה,Ar'ara
ערערה בנגב,Ar'ara HaNegev
עשאהל,Asa'el
עשהאל,Asa'el
עשרת,Aseret
עתלית,Atlit
עתניאל,Othniel
פארן,Paran
פארק אריאל שרון,Ariel Sharon Park
פארק תעשיות מגדל עוז,Migdal Oz Industrial Park
פארק תעשיות פלמחים,Palmahim Industrial Park
פארק תעשייה ראם,Ra'am Industrial Park
פדואל,Paduel
פדויים,Peduyim
פדיה,Pdaya
פוריה כפר עבודה,Poriya Kfar Avoda
פוריה נווה עובד,Poriya Neve Oved
פוריה עילית,Poriya Illit
פוריידיס,Fureidis
פורת,Porat
פטיש,Patish
פלך,Pelek
פלמחים,Palmahim
פני קדם,Pnei Kedem
פנימיית עין כרם,Ein Karem Boarding School
פסגות,Psagot
פסוטה,Fasuta
פעמי תש''ז,Pa'amei Tashaz
פצאל,Patzael
פקיעין,Peki'in
פקיעין החדשה,Peki'in HaHadasha
פרדס חנה,Pardes Hanna
פרדס חנה כרכור,Pardes Hanna-Karkur
פרדסיה,Pardesia
פרוד,Parod
פרי גן,Pri Gan
פתח תקווה,Petah Tikva
פתחיה,Pitahya
צאלון,Tzalon
צאלים,Tzalim
צבעון,Tziv'on
צובה,Tzuba
צוחר,Tzohar
צוחר ואוהד,Tzohar and Ohad
צומת אלמוג,Almog Junction
צומת בנימינה,Binyamina Junction
צומת דבירה,Dvira Junction
צומת האלה,Ha'ela Junction
צומת הגוש,HaGush Junction
צופים,Tzofim
צופית,Tzofit
צופר,Tzofar
צוקים,Tzukim
צור הדסה,Tzur Hadassa
צור יצחק,Tzur Yitzhak
צור משה,Tzur Moshe
צור נתן,Tzur Natan
צוריאל,Tzuri'el
צורית גילון,Tzurit Gilon
צורן,Tzoran
ציפורי,Tzipori
צלפון,Tzalafon
צמח,Tzemaḥ
צפריה,Tzafriya
צפרירים,Tzafririm
צפת,Safed (Tzfat)
צפת - נוף כנרת,Safed - Kinneret View
צפת - עיר,Safed - City
צפת - עכברה,Safed - Akbara
צרופה,Tzrufa
צרעה,Tzora
קבוצת גבע,Geva Group
קבוצת יבנה,Yavne Group
קדומים,Kedumim
קדימה,Kadima
קדימה צורן,Kadima Tzoran
קדימה-צורן,Kadima-Tzoran
קדיתא,Qadita
קדם ערבה,Kedem Arava
קדמה,Kadma
קדמת צבי,Kadmat Tzvi
קדר,Kedar
קדר דרום,Kedar South
קדרון,Kedron
קדרים,Kadrim
קדש ברנע,Kadesh Barnea
קוממיות,Komemiyyut
קורנית,Kornit
קטורה,Ketura
קיבוץ דן,Kibbutz Dan
קיבוץ מגידו,Kibbutz Megiddo
קידה,Qida
קידר,Kidar
קיסריה,Caesarea
קלחים,Klahim
קליה,Qalya
קלנסווה,Qalansawe
קלע,Kela
קלע אלון,Kela Alon
קסר א-סר,Qasr a-Sir
קציר,Katzir
קצר-א-סיר,Qasr a-Sir
קצר-א-סיר והפזורה,Qasr a-Sir and Dispersion
קצרין,Katzrin
קצרין - אזור תעשייה,Katzrin - Industrial Zone
קריית אונו,Kiryat Ono
קריית ארבע,Kiryat Arba
קריית אתא,Kiryat Ata
קריית ביאליק,Kiryat Bialik
קריית גת,Kiryat Gat
קריית חינוך מרחבים,Merḥavim Educational Campus
קריית טבעון - בית זייד,Kiryat Tivon - Beit Zeid
קריית טבעון-בית זייד,Kiryat Tivon-Beit Zeid
קריית ים,Kiryat Yam
קריית יערים,Kiryat Yearim
קריית מוצקין,Kiryat Motzkin
קריית מלאכי,Kiryat Malakhi
קריית נטפים,Kiryat Netafim
קריית ענבים,Kiryat Anavim
קריית עקרון,Kiryat Ekron
קריית שמונה,Kiryat Shmona
קרית ארבע,Kiryat Arba
קרית חינוך מרחבים,Merḥavim Educational Campus
קרני שומרון,Qarne Shomron
קשת,Keshet
ראמה,Rama
ראס אל-עין,Ras al-Ein
ראס עלי,Ras Ali
ראש הנקרה,Rosh HaNikra
ראש העין,Rosh HaAyin
ראש פינה,Rosh Pina
ראש צורים,Rosh Tzurim
ראשון לציון - מזרח,Rishon LeZion - East
ראשון לציון - מערב,Rishon LeZion - West
רבבה,Ravava
רבדים,Ravadim
רביבים,Revivim
רביד,Ravid
רגבה,Regava
רגבים,Regavim
רהט,Rahat
רהט והפזורה,Rahat and Dispersion
רווחה,Revaha
רוויה,Ravia
רוחמה,Ruhama
רומאנה,Rumaneh
רומת אל הייב,Rumat al-Heib
רועי,Ro'i
רותם,Rotem
רחוב,Rehov
רחובות,Rehovot
רחלים,Rahelim
רטורנו - גבעת שמש,Retorno - Giv'at Shemesh
ריחאנייה,Reihaniyya
ריחן,Rehan
ריינה,Reineh
רימונים,Rimonim
רינתיה,Rinnatia
רכסים,Rekhassim
רם און,Ram On
רמות,Ramot
רמות השבים,Ramot HaShavim
רמות מאיר,Ramot Meir
רמות מנשה,Ramot Menashe
רמות נפתלי,Ramot Naftali
רמלה,Ramla
רמת גן - מזרח,Ramat Gan - East
רמת גן - מערב,Ramat Gan - West
רמת דוד,Ramat David
רמת הכובש,Ramat HaKovesh
רמת הנדיב,Ramat HaNadiv
רמת השופט,Ramat HaShofet
רמת השרון,Ramat HaSharon
רמת טראמפ,Ramat Trump
רמת יוחנן,Ramat Yohanan
רמת ישי,Ramat Yishai
רמת מגרון,Ramat Magron
רמת מגשימים,Ramat Magshimim
רמת צבי,Ramat Tzvi
רמת רזיאל,Ramat Raziel
רנן,Rannen
רעים,Re'im
רעננה,Ra'anana
רפטינג נהר הירדן,Jordan River Rafting
רקפת,Rakefet
רשפון,Rishpon
רשפים,Reshafim
רתמים,Retamim
שאנטי במדבר,Shanti in the Desert
שאר ישוב,She'ar Yashuv
שבות רחל,Shvut Rachel
שבי דרום,Shavi Darom
שבי ציון,Shavei Zion
שבי שומרון,Shavei Shomron
שבלי,Shibli
שגב שלום,Segev Shalom
שגב שלום והפזורה,Segev Shalom and Dispersion
שדה אברהם,Sdeh Avraham
שדה אילן,Sdeh Ilan
שדה אליהו,Sdeh Eliyahu
שדה אליעזר,Sdeh Eliezer
שדה אפרים,Sdeh Efrayim
שדה בועז,Sdeh Boaz
שדה בוקר,Sdeh Boker
שדה בר,Sdeh Bar
שדה דוד,Sdeh David
שדה ורבורג,Sdeh Warburg
שדה יואב,Sdeh Yo'av
שדה יעקב,Sdeh Ya'akov
שדה יצחק,Sdeh Yitzhak
שדה משה,Sdeh Moshe
שדה נחום,Sdeh Nahum
שדה נחמיה,Sdeh Nehemia
שדה ניצן,Sdeh Nitzan
שדה עוזיהו,Sdeh Uzziyahu
שדה צבי,Sdeh Tzvi
שדות ים,Sdot Yam
שדות מיכה,Sdot Mikha
שדי אברהם,Sadeh Avraham
שדי חמד,Sdei Hemed
שדי תרומות,Sdei Terumot
שדמה,Shedema
שדמות דבורה,Shedmot Devora
שדמות מחולה,Shedmot Mehola
שדרות,Sderot
שהם,Shoham
שואבה,Sho'eva
שובה,Shuva
שובל,Shuval
שוהם,Shoham
שומרה,Shomera
שומריה,Shumriyya
שומרת,Shomrat
שוקדה,Shoqeda
שורש,Shoresh
שורשים,Shorashim
שושנת העמקים,Shoshanat HaAmaqim
שזור,Shezor
שחר,Shahar
שחרות,Shaharot
שיבולים,Shibolim
שיבלי אום אלג'נם,Shibli Umm al-Ghanam
שיטים,Shitim
שייח' דנון,Sheikh Dannun
שילה,Shilo
שילת,Shilat
שכניה,Shekhannya
שלווה,Shalva
שלוחות,Shluhot
שלומי,Shlomi
שלומית,Shlomit
שלומציון,Shlomtziyon
שלפים,Shalfim
שמיר,Shamir
שמעה,Shim'a
שמרת,Shomrat
שמשית,Shimshit
שני ליבנה,Shnei Livna
שניר,Shenir
שעב,Sha'ab
שעל,Sha'al
שעלבים,Sha'alvim
שער אפרים,Sha'ar Efrayim
שער הגולן,Sha'ar HaGolan
שער הגיא,Sha'ar HaGai
שער העמקים,Sha'ar HaAmaqim
שער מנשה,Sha'ar Menashe
שערי תקווה,Sha'arei Tikva
שפיים,Shefayim
שפיר,Shafir
שפר,Shafer
שפרעם,Shefar'am
שקד,Shaked
שקף,Shakef
שרונה,Sharona
שריגים - לי-און,Sherigim - Li-On
שריגים - ליאון,Sherigim - Leon
שריד,Sarid
שרשרת,Sharsherot
שתולה,Shtula
שתולים,Shtulim
תארבין,Tarabin
תאשור,Ta'ashur
תדהר,Tidhar
תובל,Tuval
תומר,Tomer
תחנת רכבת כפר ברוך,Kfar Barukh Train Station
תחנת רכבת כפר יהושוע,Kfar Yehoshua Train Station
תחנת רכבת קריית מלאכי - יואב,Kiryat Malakhi - Yo'av Train Station
תחנת רכבת ראש העין,Rosh HaAyin Train Station
תימורים,Timorim
תירוש,Tirosh
תל אביב - דרום העיר ויפו,Tel Aviv - South City and Jaffa
תל אביב - מזרח,Tel Aviv - East
תל אביב - מרכז העיר,Tel Aviv - City Center
תל אביב - עבר הירקון,Tel Aviv - Trans-Yarkon
תל חי,Tel Hai
תל יוסף,Tel Yosef
תל יצחק,Tel Yitzhak
תל מונד,Tel Mond
תל עדשים,Tel Adashim
תל ערד,Tel Arad
תל ערד ואל פורה,Tel Arad and Al-Fura
תל ציון,Tel Zion
תל קציר,Tel Katzir
תל שבע,Tel Sheva
תל תאומים,Tel Te'omim
תלם,Telem
תלמי אליהו,Talmei Eliyahu
תלמי אלעזר,Talmei Elazar
תלמי ביל''ו,Talmei Bilu
תלמי יוסף,Talmei Yosef
תלמי יחיאל,Talmei Yehiel
תלמי יפה,Talmei Yafe
תלמים,Talmim
תמרת,Tamrat
תנובות,Tenuvot
תעוז,Te'oz
תעשיון חצב,Hatzav Industrial Zone
תעשיון צריפין,Tzrifin Industrial Zone
תפרח,Tifrah
תקומה,Tkuma
תקומה וחוות יזרעם,Tkuma and Yizre'am Farm
תקוע,Tekoa
תקוע ד' וה',Tekoa D and E
תראבין א-צאנע ופזורה,Tarabin a-Tzane and Dispersion
תרום,Tarum
